date,merchant,amount,category
05/04/2023,Google Play,372.55,Utilities
11/25/2023,Kroger,63.3,Food
12/26/2023,CVS,131.12,Savings/Investments
04/05/2024,Gym Membership,57.81,Insurance
02/11/2023,Best Buy,363.21,Transportation
04/29/2024,Walgreens,369.11,Food
06/23/2024,Walgreens,279.36,Housing
04/29/2023,Best Buy,53.93,Utilities
10/26/2023,Subway,94.49,Entertainment/Recreation
07/19/2023,McDonald's,256.41,Transportation
07/01/2023,Gym Membership,364.59,Insurance
07/30/2023,Gym Membership,220.39,Housing
10/18/2023,McDonald's,173.99,Utilities
02/19/2023,Walgreens,92.59,Insurance
10/30/2023,Target,286.77,Entertainment/Recreation
08/06/2023,McDonald's,249.03,Entertainment/Recreation
12/15/2023,Google Play,446.28,Transportation
10/04/2023,Apple Store,162.76,Savings/Investments
04/25/2024,Subway,179.8,Insurance
10/24/2023,McDonald's,340.66,Transportation
02/16/2024,Costco,347.27,Entertainment/Recreation
11/11/2023,Shell,287.79,Insurance
06/27/2023,Costco,419.69,Insurance
11/13/2023,Best Buy,333.74,Transportation
08/12/2024,Best Buy,367.58,Insurance
02/25/2024,Subway,349.01,Healthcare
03/11/2024,Netflix,189.55,Miscellaneous
03/11/2024,Uber,257.01,Utilities
07/22/2023,Gym Membership,48.47,Healthcare
02/13/2024,Spotify,342.34,Food
03/28/2023,Subway,351.61,Food
04/08/2024,Delta Airlines,396.73,Utilities
06/13/2023,McDonald's,63.36,Savings/Investments
02/17/2023,McDonald's,365.71,Miscellaneous
04/14/2024,Gym Membership,431.57,Savings/Investments
03/25/2024,Target,347.99,Insurance
10/20/2023,Amazon,267.3,Savings/Investments
02/11/2023,Spotify,103.45,Utilities
06/09/2024,CVS,45.15,Healthcare
12/19/2023,Best Buy,401.95,Food
11/15/2023,Target,353.77,Food
01/11/2023,Target,215.51,Utilities
12/11/2023,Netflix,322.89,Savings/Investments
06/26/2024,Subway,286.02,Savings/Investments
10/13/2023,Apple Store,8.94,Food
05/21/2023,Netflix,362.85,Insurance
01/24/2023,Costco,116.54,Insurance
07/10/2024,Subway,382.83,Housing
10/06/2023,McDonald's,43.55,Insurance
11/23/2023,McDonald's,196.83,Utilities
